Concat	Plate	Letter	Well
1A7	1	A	7
1E12	1	E	12
2B12	2	B	12
3F11	3	F	11
3H12	3	H	12
4B5	4	B	5
4C1	4	C	1
4E10	4	E	10
4H12	4	H	12
5F2	5	F	2
5F8	5	F	8
5H12	5	H	12
6E3	6	E	3
8C10	8	C	10
8D7	8	D	7
8G3	8	G	3
8H12	8	H	12
10H12	10	H	12
11H12	11	H	12
12H12	12	H	12
13E12	13	E	12
13F12	13	F	12
13G12	13	G	12
13H12	13	H	12
14F12	14	F	12
14G12	14	G	12
14H12	14	H	12
15C12	15	C	12
17G12	17	G	12
17H12	17	H	12
18E7	18	E	7
18H12	18	H	12
20G12	20	G	12
20H12	20	H	12
21H12	21	H	12
22G12	22	G	12
22H12	22	H	12
23H12	23	H	12
25D8	25	D	8
26H12	26	H	12
27D5	27	D	5
29B6	29	B	6
29D6	29	D	6
29E7	29	E	7
29F7	29	F	7
30B9	30	B	9
30E6	30	E	6
30E9	30	E	9
30G7	30	G	7
30H12	30	H	12
31B6	31	B	6
31B9	31	B	9
31D2	31	D	2
32B1	32	B	1
32D10	32	D	10
32E10	32	E	10
32E12	32	E	12
32F12	32	F	12
32G12	32	G	12
32H12	32	H	12
33A12	33	A	12
33B12	33	B	12
33C12	33	C	12
33D12	33	D	12
33E12	33	E	12
33G11	33	G	11
33G12	33	G	12
33H6	33	H	6
33H7	33	H	7
33H11	33	H	11
33H12	33	H	12
