Concat	Plate	Letter	Well
1A1	1	A	1
1A2	1	A	2
1A3	1	A	3
1A4	1	A	4
1A5	1	A	5
1A6	1	A	6
1A7	1	A	7
1A8	1	A	8
1A9	1	A	9
1A10	1	A	10
1A11	1	A	11
1A12	1	A	12
1B1	1	B	1
1B2	1	B	2
1B3	1	B	3
1B4	1	B	4
1B5	1	B	5
1B6	1	B	6
1B7	1	B	7
1B8	1	B	8
1B9	1	B	9
1B10	1	B	10
1B11	1	B	11
1B12	1	B	12
1C1	1	C	1
1C2	1	C	2
1C3	1	C	3
1C4	1	C	4
1C5	1	C	5
1C6	1	C	6
1C7	1	C	7
1C8	1	C	8
1C9	1	C	9
1C10	1	C	10
1C11	1	C	11
1C12	1	C	12
1D1	1	D	1
1D2	1	D	2
1D3	1	D	3
1D4	1	D	4
1D5	1	D	5
1D6	1	D	6
1D7	1	D	7
1D8	1	D	8
1D9	1	D	9
1D10	1	D	10
1D11	1	D	11
1D12	1	D	12
1E1	1	E	1
1E2	1	E	2
1E3	1	E	3
1E4	1	E	4
1E5	1	E	5
1E6	1	E	6
1E7	1	E	7
1E8	1	E	8
1E9	1	E	9
1E10	1	E	10
1E11	1	E	11
1E12	1	E	12
1F1	1	F	1
1F2	1	F	2
1F3	1	F	3
1F4	1	F	4
1F5	1	F	5
1F6	1	F	6
1F7	1	F	7
1F8	1	F	8
1F9	1	F	9
1F10	1	F	10
1F11	1	F	11
1F12	1	F	12
1G1	1	G	1
1G2	1	G	2
1G3	1	G	3
1G4	1	G	4
1G5	1	G	5
1G6	1	G	6
1G7	1	G	7
1G8	1	G	8
1G9	1	G	9
1G10	1	G	10
1G11	1	G	11
1G12	1	G	12
1H1	1	H	1
1H2	1	H	2
1H3	1	H	3
1H4	1	H	4
1H5	1	H	5
1H6	1	H	6
1H7	1	H	7
1H8	1	H	8
1H9	1	H	9
1H10	1	H	10
1H11	1	H	11
1H12	1	H	12
2A1	2	A	1
2A2	2	A	2
2A3	2	A	3
2A4	2	A	4
2A5	2	A	5
2A6	2	A	6
2A7	2	A	7
2A8	2	A	8
2A9	2	A	9
2A10	2	A	10
2A11	2	A	11
2A12	2	A	12
2B1	2	B	1
2B2	2	B	2
2B3	2	B	3
2B4	2	B	4
2B5	2	B	5
2B6	2	B	6
2B7	2	B	7
2B8	2	B	8
2B9	2	B	9
2B10	2	B	10
2B11	2	B	11
2B12	2	B	12
2C1	2	C	1
2C2	2	C	2
2C3	2	C	3
2C4	2	C	4
2C5	2	C	5
2C6	2	C	6
2C7	2	C	7
2C8	2	C	8
2C9	2	C	9
2C10	2	C	10
2C11	2	C	11
2C12	2	C	12
2D1	2	D	1
2D2	2	D	2
2D3	2	D	3
2D4	2	D	4
2D5	2	D	5
2D6	2	D	6
2D7	2	D	7
2D8	2	D	8
2D9	2	D	9
2D10	2	D	10
2D11	2	D	11
2D12	2	D	12
2E1	2	E	1
2E2	2	E	2
2E3	2	E	3
2E4	2	E	4
2E5	2	E	5
2E6	2	E	6
2E7	2	E	7
2E8	2	E	8
2E9	2	E	9
