"Library","Plate_index","OD"
"Grant","P2A1",0.304
"Grant","P2A2",0.291
"Grant","P2A3",0.277
"Grant","P2A4",0.264
"Grant","P2A5",0.316
"Grant","P2A6",0.278
"Grant","P2A7",0.286
"Grant","P2A8",0.284
"Grant","P2A9",0.278
"Grant","P2A12",0.315
"Grant","P2B1",0.276
"Grant","P2B2",0.417
"Grant","P2B4",0.466
"Grant","P2B6",0.407
"Grant","P2B7",0.373
"Grant","P2B8",0.354
"Grant","P2B9",0.229
"Grant","P2B10",0.282
"Grant","P2B11",0.271
"Grant","P2C1",0.206
"Grant","P2C2",0.296
"Grant","P2C3",0.336
"Grant","P2C4",0.32
"Grant","P2C5",0.502
"Grant","P2C6",0.283
"Grant","P2C7",0.428
"Grant","P2C8",0.322
"Grant","P2C9",0.422
"Grant","P2C11",0.296
"Grant","P2C12",0.203
"Grant","P2D1",0.236
"Grant","P2D2",0.323
"Grant","P2D3",0.358
"Grant","P2D4",0.405
"Grant","P2D5",0.45
"Grant","P2D6",0.349
"Grant","P2D7",0.29
"Grant","P2D8",0.381
"Grant","P2D9",0.326
"Grant","P2D10",0.335
"Grant","P2D11",0.333
"Grant","P2D12",0.281
"Grant","P2E1",0.256
"Grant","P2E2",0.458
"Grant","P2E3",0.577
"Grant","P2E4",0.45
"Grant","P2E6",0.358
"Grant","P2E7",0.304
"Grant","P2E8",0.349
"Grant","P2E9",0.386
"Grant","P2E10",0.36
"Grant","P2E11",0.351
"Grant","P2E12",0.315
"Grant","P2F1",0.344
"Grant","P2F2",0.206
"Grant","P2F3",0.469
"Grant","P2F4",0.302
"Grant","P2F5",0.382
"Grant","P2F6",0.428
"Grant","P2F7",0.154
"Grant","P2F8",0.381
"Grant","P2F9",0.377
"Grant","P2F10",0.396
"Grant","P2F11",0.451
"Grant","P2F12",0.339
"Grant","P2G1",0.27
"Grant","P2G2",0.302
"Grant","P2G3",0.363
"Grant","P2G4",0.354
"Grant","P2G6",0.32
"Grant","P2G7",0.359
"Grant","P2G8",0.327
"Grant","P2G9",0.347
"Grant","P2G10",0.315
"Grant","P2G11",0.395
"Grant","P2G12",0.478
"Grant","P2H1",0.292
"Grant","P2H2",0.265
"Grant","P2H3",0.291
"Grant","P2H4",0.297
"Grant","P2H5",0.312
"Grant","P2H6",0.252
"Grant","P2H7",0.36
"Grant","P2H8",0.315
"Grant","P2H9",0.379
"Grant","P2H11",0.329
"Grant","P2H12",0.267
"Grant","P11A1",0.318
"Grant","P11A2",0.254
"Grant","P11A3",0.256
"Grant","P11A4",0.315
"Grant","P11A5",0.293
"Grant","P11A6",0.41
"Grant","P11A7",0.34
"Grant","P11A8",0.362
"Grant","P11A9",0.287
"Grant","P11A10",0.05
"Grant","P11A11",0.258
"Grant","P11A12",0.328
"Grant","P11B1",0.286
"Grant","P11B2",0.363
"Grant","P11B3",0.292
"Grant","P11B4",0.286
"Grant","P11B5",0.286
"Grant","P11B6",0.315
"Grant","P11B7",0.295
"Grant","P11B8",0.31
"Grant","P11B9",0.282
"Grant","P11B10",0.106
"Grant","P11B11",0.289
"Grant","P11B12",0.305
"Grant","P11C1",0.333
"Grant","P11C2",0.312
"Grant","P11C4",0.381
"Grant","P11C5",0.342
"Grant","P11C6",0.358
"Grant","P11C7",0.348
"Grant","P11C8",0.415
"Grant","P11C9",0.354
"Grant","P11C10",0.377
"Grant","P11C11",0.317
"Grant","P11C12",0.3
"Grant","P11D1",0.329
"Grant","P11D2",0.367
"Grant","P11D3",0.409
"Grant","P11D4",0.418
"Grant","P11D5",0.38
"Grant","P11D6",0.492
"Grant","P11D7",0.299
"Grant","P11D8",0.334
"Grant","P11D9",0.362
"Grant","P11D10",0.597
"Grant","P11D11",0.32
"Grant","P11D12",0.278
"Grant","P11E1",0.317
"Grant","P11E2",0.3
"Grant","P11E3",0.468
"Grant","P11E4",0.389
"Grant","P11E5",0.379
"Grant","P11E6",0.385
"Grant","P11E7",0.299
"Grant","P11E8",0.424
"Grant","P11E9",0.203
"Grant","P11E10",0.32
"Grant","P11E11",0.182
"Grant","P11E12",0.335
"Grant","P11F1",0.31
"Grant","P11F3",0.422
"Grant","P11F4",0.375
"Grant","P11F5",0.344
"Grant","P11F6",0.06
"Grant","P11F7",0.249
"Grant","P11F8",0.42
"Grant","P11F9",0.383
"Grant","P11F10",0.392
"Grant","P11F11",0.303
"Grant","P11F12",0.289
"Grant","P11G1",0.305
"Grant","P11G2",0.289
"Grant","P11G3",0.394
"Grant","P11G4",0.283
"Grant","P11G5",0.293
"Grant","P11G6",0.286
"Grant","P11G7",0.263
"Grant","P11G8",0.367
"Grant","P11G9",0.282
"Grant","P11G10",0.312
"Grant","P11G11",0.378
"Grant","P11G12",0.529
"Grant","P11H1",0.3
"Grant","P11H2",0.433
"Grant","P11H4",0.33
"Grant","P11H5",0.314
"Grant","P11H6",0.253
"Grant","P11H7",0.312
"Grant","P11H8",0.299
"Grant","P11H9",0.329
"Grant","P11H10",0.314
"Grant","P11H11",0.262
"Grant","P15A1",0.305
"Grant","P15A2",0.397
"Grant","P15A3",0.245
"Grant","P15A4",0.356
"Grant","P15A5",0.397
"Grant","P15A6",0.344
"Grant","P15A7",0.382
"Grant","P15A8",0.366
"Grant","P15A9",0.294
"Grant","P15A11",0.305
"Grant","P15A12",0.35
"Grant","P15B1",0.318
"Grant","P15B2",0.317
"Grant","P15B3",0.266
"Grant","P15B4",0.283
"Grant","P15B5",0.314
"Grant","P15B6",0.338
"Grant","P15B7",0.343
"Grant","P15B8",0.294
"Grant","P15B9",0.339
"Grant","P15B11",0.334
"Grant","P15B12",0.306
"Grant","P15C1",0.31
"Grant","P15C2",0.377
"Grant","P15C3",0.257
"Grant","P15C4",0.377
"Grant","P15C5",0.147
"Grant","P15C6",0.15
"Grant","P15C7",0.396
"Grant","P15C8",0.337
"Grant","P15C9",0.387
"Grant","P15C11",0.288
"Grant","P15C12",0
