Concat	MutantID	Plate	NR Well Location	NR Well Location	R Well Location	Genomic Location	Chromosome Location	Gene Description	Gene Name	Gene Role	% into ORF	Direction of Transposon in ORF (see materials and methods)	BLAST Score	Next Best BLAST Score	Levenshtein Distance	Ambiguous location ('yes' if difference between BLAST scores is 0 or if Levenshtein Distance > 4)
1H9	EC549	1	H9	H	9	73856	1	conserved hypothetical protein		Hypothetical proteins	8.3	-	688	0	0	
1H6	EC379	1	H6	H	6	82044	1	ubiquinone/menaquinone biosynthesis methlytransferase UbiE	ubiE	"Biosynthesis of cofactors, prosthetic groups, and carriers"	48.9	-	272	0	0	
1F10	EC677	1	F10	F	10	263773	1	rfbT protein	rfbT	Unknown function	34.4	+	329	0	1	
1B7	EC42	1	B7	B	7	280505	1	phosphoribosylamine--glycine ligase	purD	"Purines, pyrimidines, nucleosides, and nucleotides"	25.2	-	373	0	0	
1G9	EC535	1	G9	G	9	370222	1	"host factor-I, putative"		Regulatory functions	27	+	682	0	0	
1F2	EC241	1	F2	F	2	488182	1	HAM1 protein		Unknown function	9.4	+	779	0	0	
1D5	EC83	1	D5	D	5	529837	1	hypothetical protein			16.6	-	355	0	0	
1D6	EC279	1	D6	D	6	539857	1	DNA repair protein RadC-related protein		Unknown function	30.6	+	305	0	1	
1B5	EC358	1	B5	B	5	579256	1	hypothetical protein			97.4	+	484	0	0	
1C5	EC79	1	C5	C	5	697091	1	"protease, putative"		Protein fate	15.6	-	484	0	0	
1A2	EC119	1	A2	A	2	710557	1	"peptide chain release factor 2, programmed frameshift"	prfB	Protein synthesis	99.7	+	373	0	0	
1A1	EC5	1	A1	A	1	793082	1	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	queA	Protein synthesis	12.2	-	946	0	0	
1D8	EC324	1	D8	D	8	794004	1	hypothetical protein			86.6	-	654	0	3	
1E7	EC88	1	E7	E	7	863000	1	hypothetical protein			22.5	+	648	0	0	
1D3	EC52	1	D3	D	3	863156	1	hypothetical protein			80.2	+	654	0	0	
1C3	EC14	1	C3	C	3	945855	1	hypothetical protein			42.1	-	105	0	0	
1C9	EC433	1	C9	C	9	991276	1	hypothetical protein			19.2	+	575	54	11	
1G10	EC687	1	G10	G	10	1009744	1	lipoic acid synthetase	lipA	"Biosynthesis of cofactors, prosthetic groups, and carriers"	3.6	+	618	0	0	
1B4	EC216	1	B4	B	4	1058105	1	"glutathione-regulated potassium-efflux system protein KefB, putative"		Transport and binding proteins	18.9	+	274	0	2	
1E8	EC378	1	E8	E	8	1114268	1	"RNA polymerase sigma-70 factor, ECF subfamily"		Transcription	17.8	-	658	0	0	
1D9	EC437	1	D9	D	9	1149454	1	hypothetical protein			10.4	-	591	0	0	
1E6	EC283	1	E6	E	6	1161480	1	"oligopeptide ABC transporter, permease protein"	oppC	Transport and binding proteins	11	-	478	0	0	
1E1	EC97	1	E1	E	1	1187904	1	"oxidoreductase, short-chain dehydrogenase/reductase family"		Central intermediary metabolism	34.6	-	250	0	0	
1B11	EC739	1	B11	B	11	1212120	1	cold shock-like protein CspD	cspD	Regulatory functions	38.2	-	969	48.1	3	
1G6	EC325	1	G6	G	6	1216707	1	conserved hypothetical protein		Hypothetical proteins	19.9	+	1211	48.1	0	
1A9	EC395	1	A9	A	9	1221723	1	"glutamate decarboxylase, putative"		Central intermediary metabolism	14.7	-	700	0	0	
1F3	EC70	1	F3	F	3	1253821	1	transport ATP-binding protein CydD	cydD	Transport and binding proteins	93.8	-	454	0	0	
1F7	EC90	1	F7	F	7	1310792	1	PilB-related protein		Unknown function	69.9	+	180	0	0	
1E9	EC451	1	E9	E	9	1492784	1	"purine-binding chemotaxis protein Chew, putative"		Cellular processes	69.5	-	523	0	0	
1G1	EC113	1	G1	G	1	1505843	1	hypothetical protein			55.1	-	745	50.1	0	
1B3	EC343	1	B3	B	3	1535244	1	"cation transport ATPase, E1-E2 family"		Transport and binding proteins	22.2	-	145	0	0	
1C4	EC254	1	C4	C	4	1574622	1	hypothetical protein			96.1	-	926	630	0	
1D1	EC71	1	D1	D	1	1605037	1	aminopeptidase N	pepN	Protein fate	17.3	-	121	0	0	
1C10	EC637	1	C10	C	10	1618406	1	hypothetical protein			39.7	+	1080	0	0	
1H8	EC391	1	H8	H	8	1670202	1	6-phospho-beta-glucosidase	bglA	Energy metabolism	29.8	-	553	0	0	
1A4	EC166	1	A4	A	4	1676638	1	hypothetical protein			27.8	+	948	0	0	
1H1	EC115	1	H1	H	1	1683317	1	"quinol oxidase, subunit I"	qxtA	Energy metabolism	21.3	-	361	0	0	
1A12	EC452	1	A12	A	12	1688459	1	hypothetical protein			15.2	+	394	0	0	
1C2	EC155	1	C2	C	2	1720743	1	conserved hypothetical protein		Hypothetical proteins	22.2	+	1310	0	0	
1C7	EC46	1	C7	C	7	1741170	1	hypothetical protein		Unclassified	5	-	377	0	0	
1A10	EC579	1	A10	A	10	1772701	1	hypothetical protein			52.2	+	266	0	0	
1F11	EC434	1	F11	F	11	1817351	1	"peptide ABC transporter, ATP-binding protein"	sapD	Transport and binding proteins	7.6	-	367	0	0	
1F8	EC387	1	F8	F	8	1821600	1	hypothetical protein			12.5	+	880	0	0	
1G7	EC180	1	G7	G	7	1853854	1	mukE protein	mukE	Cellular processes	72.4	+	773	0	0	
1G8	EC389	1	G8	G	8	1871680	1	3-phosphoshikimate 1-carboxyvinyltransferase	aroA	Amino acid biosynthesis	9.9	-	373	0	0	
1A6	EC177	1	A6	A	6	1900597	1	"helicase, putative"		Transcription	8.2	+	414	0	0	
1F5	EC121	1	F5	F	5	1944066	1	eha protein	eha	Hypothetical proteins	33.8	+	472	0	0	
1D7	EC74	1	D7	D	7	1983862	1	"cytochrome d ubiquinol oxidase, subunit I"	cydA-1	Energy metabolism	37.9	-	91.7	0	0	
1A8	EC272	1	A8	A	8	2035443	1	hemolysin-related protein			12.3	+	902	0	0	
